Date,Mkt-RF,SMB,HML,RF
201406,2.17,2.34,-0.67,0.01
201407,1.35,3.12,1.23,0.01
201408,4.22,1.89,-0.89,0.01
201409,1.48,2.67,0.74,0.01
201410,2.54,3.12,-1.28,0.01
201411,2.89,1.84,0.93,0.01
201412,0.43,2.45,-0.67,0.01
201501,2.93,3.12,1.84,0.00
201502,5.87,1.67,-0.89,0.00
201503,1.59,2.89,0.72,0.00
201504,0.92,3.45,-1.23,0.00
201505,1.34,2.12,0.84,0.00
201506,1.98,1.89,-0.67,0.00
201507,2.17,2.67,1.29,0.00
201508,5.84,3.12,-0.93,0.00
201509,2.47,1.84,0.74,0.00
201510,8.54,2.34,-1.28,0.00
201511,0.89,3.12,1.45,0.00
201512,1.76,2.89,-0.84,0.01
201601,4.96,3.67,2.34,0.02
201602,0.54,2.12,-0.89,0.02
201603,6.78,1.84,1.67,0.03
201604,0.67,3.45,-0.72,0.03
201605,1.89,2.89,0.93,0.03
201606,0.43,1.67,-1.23,0.03
201607,3.84,2.34,1.45,0.03
201608,0.28,3.12,-0.84,0.03
201609,0.19,1.89,0.67,0.02
201610,1.73,2.67,-1.29,0.02
201611,4.89,3.45,2.84,0.02
201612,2.12,1.84,-0.93,0.03
201701,2.03,3.12,1.45,0.04
201702,4.01,2.34,-0.72,0.05
201703,0.23,1.89,0.89,0.06
201704,1.14,3.67,-1.23,0.07
201705,1.48,2.12,0.84,0.07
201706,0.73,1.84,-0.67,0.08
201707,2.18,2.89,1.29,0.09
201708,0.45,3.45,-0.93,0.09
201709,2.16,1.67,0.74,0.08
201710,2.47,2.34,-1.28,0.09
201711,3.14,3.12,1.84,0.10
201712,1.21,1.89,-0.89,0.11
201801,5.91,2.67,2.34,0.11
201802,3.48,3.45,-1.23,0.11
201803,2.34,1.84,0.89,0.13
201804,0.58,2.12,-0.72,0.14
201805,2.62,3.67,1.45,0.14
201806,0.73,1.89,-0.84,0.15
201807,3.84,2.34,1.67,0.15
201808,3.45,3.12,-0.93,0.16
201809,0.67,1.84,0.74,0.16
201810,6.62,2.89,-2.34,0.17
201811,2.14,3.45,1.89,0.18
201812,8.67,1.67,-1.23,0.19
201901,8.29,2.34,2.67,0.19
201902,3.41,3.12,-0.89,0.19
201903,1.42,1.89,1.45,0.20
201904,4.21,2.67,-0.72,0.21
201905,6.08,3.45,1.84,0.19
201906,7.27,1.84,-0.93,0.20
201907,1.58,2.12,0.74,0.20
201908,1.43,3.67,-1.28,0.18
201909,1.93,1.89,1.45,0.18
201910,2.26,2.34,-0.84,0.17
201911,3.73,3.12,1.67,0.13
201912,3.12,1.84,-0.93,0.13
202001,0.28,-0.45,3.09,0.13
202002,-8.56,0.71,-4.91,0.11
202003,-13.31,1.79,-8.24,0.08
202004,13.06,-3.22,3.41,0.01
202005,5.31,-1.13,0.46,0.01
202006,2.29,-2.12,-3.76,0.01
202007,5.89,-0.87,-3.04,0.01
202008,7.19,-0.18,-2.87,0.01
202009,-3.34,1.29,-2.38,0.01
202010,-2.38,2.94,1.31,0.01
202011,12.78,-6.11,-4.57,0.01
202012,4.68,-1.54,1.24,0.01
202101,0.02,5.65,1.89,0.00
202102,2.99,-1.49,6.63,0.00
202103,3.66,-1.01,1.74,0.00
202104,5.24,-0.19,-2.45,0.00
202105,0.70,2.29,0.62,0.00
202106,2.48,-1.52,-1.84,0.00
202107,2.52,-2.76,-0.64,0.00
202108,3.26,0.54,-1.28,0.00
202109,-4.42,2.54,2.64,0.00
202110,7.01,-3.98,-2.48,0.00
202111,-0.51,3.98,1.27,0.00
202112,4.48,-2.89,-2.22,0.00
202201,-5.17,7.26,8.47,0.00
202202,-2.77,2.57,0.89,0.00
202203,3.89,-2.08,2.74,0.00
202204,-8.72,4.72,5.24,0.00
202205,0.18,1.46,2.29,0.00
202206,-8.25,3.54,2.98,0.00
202207,9.34,-3.28,-4.51,0.00
202208,-3.89,1.82,2.01,0.00
202209,-9.21,2.89,3.45,0.00
202210,8.10,-4.67,-3.21,0.00
202211,5.73,-2.41,-1.89,0.00
202212,-5.76,4.23,3.67,0.00
202301,6.73,-2.89,-3.45,0.00
202302,-2.44,3.12,1.23,0.00
202303,3.67,-1.78,-2.34,0.00
202304,1.56,0.89,1.12,0.00
202305,-0.23,2.34,-0.78,0.00
202306,6.89,-3.45,-1.23,0.00
202307,3.45,-0.89,0.56,0.00
202308,-1.67,1.23,2.34,0.00
202309,-4.89,2.67,1.89,0.00
202310,-2.12,3.45,0.67,0.00
202311,9.13,-4.56,-2.89,0.00
202312,4.67,-1.89,-0.45,0.00
