date,Market,Size,Value,Momentum,Quality
2019-05-31,-2.67,1.84,3.12,-1.89,-1.23
2019-06-30,4.23,3.45,-1.23,3.89,3.67
2019-07-31,2.34,1.89,2.67,2.45,2.12
2019-08-31,-1.89,2.12,3.45,-0.89,-0.67
2019-09-30,2.67,1.84,1.89,2.89,2.56
2019-10-31,3.12,2.34,-0.84,2.67,2.34
2019-11-30,3.89,3.12,2.45,3.45,3.23
2019-12-31,2.45,1.67,1.84,2.67,2.12
2020-01-31,0.89,1.84,3.23,1.12,1.67
2020-02-29,-6.78,2.12,-4.12,-5.34,-3.45
2020-03-31,-9.23,1.67,-6.78,-8.12,-4.89
2020-04-30,8.45,-2.34,3.89,6.78,5.12
2020-05-31,3.89,1.84,2.12,2.67,2.89
2020-06-30,2.12,-1.67,-2.89,1.84,1.23
2020-07-31,4.23,1.89,-2.34,3.67,3.12
2020-08-31,5.67,2.12,-1.89,4.89,4.23
2020-09-30,-2.12,1.84,-1.67,-1.45,-1.12
2020-10-31,-1.23,2.67,2.12,-0.89,-0.67
2020-11-30,9.45,-4.23,-3.67,8.12,6.89
2020-12-31,3.23,1.84,1.89,2.89,2.45
2021-01-31,1.12,4.23,2.34,1.67,1.89
2021-02-28,2.34,-0.89,5.12,1.84,2.12
2021-03-31,2.89,1.67,2.45,2.67,2.34
2021-04-30,4.12,1.84,-1.89,3.45,3.23
2021-05-31,1.67,2.12,1.23,1.89,1.67
2021-06-30,1.89,-0.84,-1.34,2.12,1.84
2021-07-31,2.12,-1.67,-0.89,2.45,2.12
2021-08-31,2.67,1.89,-0.72,2.89,2.34
2021-09-30,-3.12,2.34,2.67,-2.45,-1.67
2021-10-31,5.34,-2.89,-1.84,4.67,3.89
2021-11-30,0.23,3.12,1.67,0.89,1.23
2021-12-31,3.45,-1.84,-1.23,3.12,2.67
2022-01-31,-3.89,5.67,6.89,-3.12,-2.34
2022-02-28,-1.84,2.12,1.34,-1.23,-0.89
2022-03-31,2.89,-1.34,2.89,2.67,2.12
2022-04-30,-6.23,3.89,4.23,-5.12,-3.45
2022-05-31,0.67,1.67,2.34,1.12,0.89
2022-06-30,-5.89,2.89,3.12,-4.56,-2.89
2022-07-31,6.78,-2.45,-3.67,6.23,4.89
2022-08-31,-2.67,1.84,2.12,-1.89,-1.23
2022-09-30,-6.89,2.34,3.45,-5.67,-3.89
2022-10-31,5.67,-3.12,-2.34,5.23,4.12
2022-11-30,4.23,-1.89,-1.67,3.89,3.12
2022-12-31,-3.89,3.45,3.78,-3.23,-2.45
2023-01-31,5.12,-2.12,-2.89,4.89,3.67
2023-02-28,-1.67,2.67,1.67,-1.12,-0.84
2023-03-31,2.78,-1.23,-1.84,2.56,2.12
2023-04-30,1.89,1.12,1.45,1.67,1.34
2023-05-31,0.45,2.12,-0.34,0.67,0.89
2023-06-30,5.23,-2.67,-0.89,4.89,3.78
2023-07-31,2.67,-0.84,1.12,2.45,2.12
2023-08-31,-0.89,1.45,2.34,-0.67,-0.45
2023-09-30,-3.45,2.12,2.12,-2.89,-2.12
2023-10-31,-1.23,2.89,1.23,-0.89,-0.67
2023-11-30,6.89,-3.45,-2.12,6.23,4.89
2023-12-31,3.45,-1.23,-0.89,3.12,2.45
